,Run,Iteration,Time,Brown,Green,Blue,Pink,Yellow,Forrest,Red,Total
0,1,1,2024-03-12 13:06:34,0,0,0,0,0,0,0,0
1,1,2,2024-03-12 13:06:35,0,0,0,0,0,0,0,0
2,1,3,2024-03-12 13:06:36,0,0,0,0,0,0,0,0
3,1,4,2024-03-12 13:06:36,0,0,0,0,0,0,0,0
4,1,5,2024-03-12 13:06:37,0,0,0,0,0,0,0,0
5,2,1,2024-03-12 13:06:37,0,0,0,0,0,0,0,0
6,3,1,2024-03-12 13:06:37,0,0,0,0,0,0,0,0
7,3,1,2024-03-12 13:06:38,0,0,0,0,0,0,0,0
