,Run,Iteration,Time,Brown,Green,Blue,Pink,Yellow,Forrest,Red,Total
0,1,1,2024-03-13 11:20:01,0,0,0,0,0,0,0,0
1,1,2,2024-03-13 11:20:02,0,0,0,0,0,0,0,0
2,1,3,2024-03-13 11:20:02,0,0,0,0,0,0,0,0
3,2,1,2024-03-13 11:20:02,0,0,0,0,0,0,0,0
4,2,2,2024-03-13 11:20:03,0,0,0,0,0,0,0,0
5,3,1,2024-03-13 11:20:03,0,0,0,0,0,0,0,0
6,3,1,2024-03-13 11:20:04,0,0,0,0,0,0,0,0
